song,artist,genre
StarStruck,Christopher Wilde,Films/Games
Something About The Sunshine,Christopher Wilde,Films/Games
Southern Voice,Tim McGraw,Country
Never Gonna Be Alone,Nickelback,Rock
Up Out My Face,Mariah Carey,Pop
I Wanna Make You Close Your Eyes,Dierks Bentley,Country
I Can Transform Ya,Chris Brown,R&B
Spotlight,Gucci Mane,Rap/Hip Hop
You And Me,Dave Matthews Band,Rock
Set The Fire To The Third Bar,Snow Patrol,Rock
Evacuate The Dancefloor,Cascada,Electro
Sweet Dreams,Beyonce,Pop
Bridge Over Troubled Water,Mary J. Blige,
F**k Today,Lil Wayne,
Hallelujah,Justin Timberlake,
Who I Am,Nick Jonas,Pop
American Star,Lil Wayne,Rap/Hip Hop
Consider Me Gone,Reba,Country
Major Tom,Shiny Toy Guns,Dance
Fallin' For You,Colbie Caillat,Pop
Lean On Me,Sheryl Crow,
Cowboy Casanova,Carrie Underwood,Country
Breathless,Taylor Swift,
Stranded,Jay-Z,
One Less Lonely Girl,Justin Bieber,Pop
My City Of Ruins,Eddie Vedder,
Eight Second Ride,Jake Owen,Country
Papers,Usher,R&B
Let It Be,Jennifer Hudson,Pop
Hurry Home,Jason Michael Carroll,Country
Fifteen,Taylor Swift,
Uprising,Muse,Alternative
Redemption Song,Rihanna,
Break,Three Days Grace,Rock
Crawl,Chris Brown,R&B
Baby By Me,50 Cent,Rap/Hip Hop
Give It Up To Me,Shakira,Rock
Russian Roulette,Rihanna,Pop
Ready To Love Again,Lady Antebellum,
Do I,Luke Bryan,Country
I Will Not Bow,Breaking Benjamin,Rock
Hot Mess,Cobra Starship,Alternative
One Time,Justin Bieber,Pop
Red Light,David Nail,Country
Love This Pain,Lady Antebellum,
I'm Going In,Drake,Films/Games
Wasted,Gucci Mane,Rap/Hip Hop
Body Language,Jesse McCartney,Pop
Bad Habits,Maxwell,R&B
Run This Town,Jay-Z,Rap/Hip Hop
Funhouse,P!nk,Pop
Drop It Low,Ester Dean,Rap/Hip Hop
Gettin' You Home,Chris Young,Country
 I Want You To,Weezer,Alternative
Music Box,Eminem,Rap/Hip Hop
Love Me,Justin Bieber,Dance
Falling Down,Selena Gomez,Pop
Bonfire,Craig Morgan,Country
Video Phone,Beyonce,Pop
Kings And Queens,Thirty Seconds To Mars,Rock
Hell Breaks Loose,Eminem,Rap/Hip Hop
Empire State Of Mind Broken Down,Alicia Keys,R&B
Elevator,Eminem,Rap/Hip Hop
On Fire,Lil Wayne,Rap/Hip Hop
I Get It In,Omarion,R&B
My Life Would Suck Without You,Glee Cast,Pop
Don't Rain On My Parade,Glee Cast,Pop
You Can't Always Get What You Want,Glee Cast,Pop
This Is War,Thirty Seconds To Mars,Alternative
What I Do,Chris Brown,R&B
Last Christmas,Glee Cast,Pop
And I Am Telling You I'm Not Going,Glee Cast,Pop
Twang,George Strait,Country
Toes,Zac Brown Band,Country
Say Hey,Michael Franti,Folk
Morning After Dark,Timbaland,
I'm Alive,Kenny Chesney,Country
Happy,Leona Lewis,Pop
Imma Star,Jeremih,Rap/Hip Hop
Who Says,John Mayer,Rock
Wheels,Foo Fighters,Alternative
All I Ask For Anymore,Trace Adkins,Country
Regret,LeToya,R&B
She Wolf,Shakira,Rock
Obsessed,Mariah Carey,Pop
For Your Entertainment,Adam Lambert,Pop
I Dreamed A Dream,Susan Boyle,Pop
True Colors,Glee Cast,Pop
Imagine,Glee Cast,Pop
Speechless,Lady Gaga,Pop
It's Your Life,Francesca Battistelli,Christian
Doesn't Mean Anything,Alicia Keys,R&B
